name,salary_from,salary_to,salary_currency,area_name,published_at
Шлифовщик,100000.0,,RUR,Тула,2022-12-07T09:55:04+0300
Инженер по технической поддержке,35000.0,,RUR,Смоленск,2022-12-07T10:44:32+0300
Системный администратор,300000.0,,KZT,Алматы,2022-12-07T06:48:49+0300
Системный аналитик,,,,Казань,2022-12-07T10:08:39+0300
"Senior системный разработчик (python, Linux)",,,,Хабаровск,2022-12-07T10:54:22+0300
Руководитель IT проекта,,,,Москва,2022-12-07T11:43:46+0300
Менеджер (развитие процессов ТОиР),,,,Москва,2022-12-07T11:26:01+0300
Ведущий коммуникационный дизайнер,,,,Москва,2022-12-07T11:38:26+0300
"Ведущий инженер отдела формирования балансов электроэнергии, мощности и анализа потерь",,,,Кострома,2022-12-07T11:56:06+0300
Head of CRM,,,,Москва,2022-12-07T11:23:06+0300
Сервисный инженер,150000.0,300000.0,KZT,Алматы,2022-12-07T07:13:24+0300
Шлифовщик,100000.0,,RUR,Брянск,2022-12-07T09:55:04+0300
Оператор станков с ПУ,110000.0,120000.0,RUR,Екатеринбург,2022-12-07T08:17:13+0300
Инженер информационной безопасности,385000.0,385000.0,KZT,Астана,2022-12-07T11:46:17+0300
Разработчик С++/Qt [Кибербезопасность],,,,Москва,2022-12-07T11:43:05+0300
Начальник Отдела нефинансовой поддержки предпринимательства,,,,Семей,2022-12-07T06:40:06+0300
Главный системный администратор Linux,,,,Москва,2022-12-07T10:59:28+0300
Лаборант кабинета информатики,24500.0,30000.0,RUR,Иркутск,2022-12-07T09:24:24+0300
Специалист 1-ой линии технической поддержки,,,,Москва,2022-12-07T10:16:21+0300
Системный администратор,80000.0,,RUR,Горно-Алтайск,2022-12-07T07:14:54+0300
Механик на склад,50000.0,70000.0,RUR,Королев,2022-12-07T09:28:54+0300
Комплектовщик,47500.0,47500.0,RUR,Уфа,2022-12-07T09:35:33+0300
Специалист службы поддержки в Yandex Cloud,54000.0,70200.0,RUR,Артем,2022-12-07T07:48:45+0300
Механик,80000.0,,RUR,Екатеринбург,2022-12-07T10:05:46+0300
Оператор станков с ПУ,46000.0,,RUR,Ижевск,2022-12-07T08:27:42+0300
Аналитик закупок,72000.0,,RUR,Москва,2022-12-07T10:31:08+0300
Data Engineer направления разработки витрин данных,,,,Москва,2022-12-07T10:31:03+0300
