,name,salary_from,salary_to,salary_currency,area_name,published_at
427,Инженер-программист,20000.0,25000.0,RUR,Ростов-на-Дону,2007
428,Системный администратор,15000.0,20000.0,RUR,Иркутск,2007
429,Менеджер по работе с клиентами,15000.0,40000.0,RUR,Москва,2007
430,Директор департамента анализа риска Информационной Безопасности,100000.0,140000.0,RUR,Москва,2007
431,Руководитель веб-проектов,35000.0,50000.0,RUR,Москва,2007
432,Руководитель практики CRM,90000.0,120000.0,RUR,Москва,2007
433,Системный администратор,50000.0,65000.0,RUR,Москва,2007
434,Менеджер по работе с клиентами,80000.0,120000.0,RUR,Москва,2007
435,Оператор базы данных,15000.0,15000.0,RUR,Москва,2007
436,Архитектор (.Net),60000.0,70000.0,RUR,Москва,2007
437,Старший инженер службы АСУ,33000.0,40000.0,RUR,Москва,2007
438,Системный администратор,30000.0,35000.0,RUR,Москва,2007
439,Системный администратор (по совместительству),6000.0,6000.0,RUR,Воронеж,2007
440,Менеджер проекта,65000.0,72000.0,RUR,Москва,2007
441,Программист OLAP SQL .NET,40000.0,40000.0,RUR,Москва,2007
442,Начальник отдела развития,55000.0,82500.0,RUR,Москва,2007
443,Программист-внедренец,45000.0,60000.0,RUR,Москва,2007
444,Web-программист (PHP),38000.0,38000.0,RUR,Санкт-Петербург,2007
